filename,count,max,avg,hunks_count
moc-ctr-file-transfer-0.1.0/helm-moc-ctr-file-transfer-0.1.0/moc-ctr-file-transfer/Chart.yaml,17,17,17,1.0
moc-ctr-file-transfer-0.1.0/helm-moc-ctr-file-transfer-0.1.0/moc-ctr-file-transfer/templates/_helpers.tpl,62,62,62,1.0
moc-ctr-file-transfer-0.1.0/helm-moc-ctr-file-transfer-0.1.0/moc-ctr-file-transfer/templates/configmap.yaml,9,9,9,1.0
moc-ctr-file-transfer-0.1.0/helm-moc-ctr-file-transfer-0.1.0/moc-ctr-file-transfer/templates/deployment.yaml,70,70,70,1.0
moc-ctr-file-transfer-0.1.0/helm-moc-ctr-file-transfer-0.1.0/moc-ctr-file-transfer/templates/service.yaml,15,15,15,1.0
moc-ctr-file-transfer-0.1.0/helm-moc-ctr-file-transfer-0.1.0/moc-ctr-file-transfer/templates/serviceaccount.yaml,12,12,12,1.0
moc-ctr-file-transfer-0.1.0/helm-moc-ctr-file-transfer-0.1.0/moc-ctr-file-transfer/values.yaml,63,63,63,1.0
adc-k6-functional/k6tests/main.js,188,86,17,1.0
adc-k6-functional/scripts/runK6.sh,14,4,2,3.0
adc-k6-functional/charts/network-policy/eric-adc-data-catalog-policy.yaml,13,13,13,2.0
adc-k6-functional/charts/network-policy/eric-adc-fns-stub-policy.yaml,13,13,13,1.0
adc-k6-functional/charts/network-policy/eric-adc-ssm-policy.yaml,13,13,13,1.0
adc-k6-functional/scripts/copyK6Report.sh,37,26,7,1.0
adc-k6-functional/scripts/deployK6Pod.sh,21,11,7,1.5
adc-k6-functional/charts/network-policy/eric-adc-sftp-server-policy.yaml,17,13,8,3.0
adc-k6-functional/Dockerfile,7,5,4,0.0
adc-k6-functional/k6tests/ADCApi.js,31,24,8,0.0
adc-k6-functional/k6tests/APIEndpoint.js,52,28,6,1.0
adc-k6-functional/k6tests/Adc-Json/ves-event-batch-neg.json,65,65,22,1.0
adc-k6-functional/k6tests/Adc-Json/ves-event-batch.json,65,65,22,1.0
adc-k6-functional/k6tests/Adc-Json/ves-event-neg.json,27,27,9,1.0
adc-k6-functional/k6tests/Adc-Json/ves-event.json,27,27,9,1.0
adc-k6-functional/k6tests/Constants.js,17,7,3,1.0
adc-k6-functional/k6tests/ObjectBuilder.js,69,40,9,1.0
adc-k6-functional/k6tests/minIO-k6-scripts/TC_1_list-bucket.js,37,35,12,1.0
adc-k6-functional/k6tests/minIO-k6-scripts/TC_2_list-object.js,37,34,12,1.0
adc-k6-functional/k6tests/minIO-k6-scripts/TC_3_fetch-object.js,56,50,19,1.0
adc-k6-functional/k6tests/minIO-k6-scripts/aws4.js,28601,28601,14300,1.0
adc-k6-functional/scripts/install_dependencies.sh,38,36,19,1.0
,138,70,23,1.0
ci/jenkins/files/testSuiteDeploy.Jenkinsfile,152,39,25,1.0
adc-k6-functional/scripts/verifyResults.py,62,24,16,3.0
adc-k6-functional/src/minIO-k6-scripts/sample.txt,1,1,1,2.0
.gitignore,2,2,2,1.0
.gitmodules,9,3,2,1.0
adc-app-eng-pipeline/adc-app-engineering-pipeline.iml,14,14,14,1.0
adc-app-eng-pipeline/pom.xml,44,44,44,1.5
adc-k6-functional/adc-k6-functional.iml,14,14,14,3.0
adc-k6-functional/charts/adc-k6pod.yaml,38,38,38,0.0
adc-k6-functional/charts/network-policy/eric-adc-k6-policy.yaml,13,13,13,0.0
adc-k6-functional/docker-compose.yaml,9,9,9,1.0
adc-k6-functional/pom.xml,12,12,12,1.0
bob,3,2,2,1.0
dev/Dockerfile,0,0,0,1.0
dev/dashboards/k6-load-testing-results_rev3.json,0,0,0,1.0
dev/docker-compose.yml,7,7,7,1.0
dev/grafana-dashboard.yaml,8,8,8,1.0
dev/grafana-datasource.yaml,9,9,9,1.0
dev/grafana-k6-docker-compose.yml,34,34,34,1.0
Dockerfile,6,6,6,1.0
ci/jenkins/rulesets/ruleset2.0.yaml,33,33,33,1.0
ci/jenkins/scripts/copy_report_k6.sh,23,23,23,1.0
ci/jenkins/scripts/deploy_testsuite.sh,5,5,5,1.0
scripts/ObjectBuilder.js,51,40,17,1.0
.gitmodules,7,3,2,1.0
bob,3,2,2,1.0
ci/jenkins/files/testSuiteDeploy.Jenkinsfile,94,39,31,3.0
scripts/ADCApi.js,31,24,16,2.0
scripts/APIEndpoint.js,32,28,16,1.0
scripts/Adc-Json/ves-event-batch-neg.json,65,65,65,1.0
scripts/Adc-Json/ves-event-neg.json,27,27,27,1.0
scripts/Constants.js,11,7,6,1.5
scripts/test_cs_service.js,75,61,38,3.0
dev/Dockerfile,0,0,0,0.0
dev/dashboards/k6-load-testing-results_rev3.json,0,0,0,0.0
dev/docker-compose.yml,7,7,7,1.0
dev/grafana-dashboard.yaml,8,8,8,1.0
dev/grafana-datasource.yaml,9,9,9,1.0
dev/grafana-k6-docker-compose.yml,34,34,34,1.0
scripts/Adc-Json/ves-event-batch.json,65,65,65,1.0
scripts/Adc-Json/ves-event.json,27,27,27,1.0
start-k6.sh,4,4,4,1.0
Dockerfile,6,6,6,1.0
ci/jenkins/rulesets/ruleset2.0.yaml,33,33,33,1.0
ci/jenkins/scripts/copy_report_k6.sh,23,23,23,1.0
ci/jenkins/scripts/deploy_testsuite.sh,5,5,5,1.0
adc-app-eng-pipeline/src/K6FunctionalTests.Jenkinsfile,60,57,15,1.0
adc-k6-functional/charts/network-policy/eric-adc-ctr-p-policy.yaml,13,13,13,1.0
adc-k6-functional/scripts/install_moc-ctr.sh,6,6,6,1.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0.tar.gz,0,0,0,3.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/3c09c798cf899b872a7cdfd59d63e4212aa09c7891b63ac86fb2c962224ee4c7/VERSION,1,1,1,2.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/3c09c798cf899b872a7cdfd59d63e4212aa09c7891b63ac86fb2c962224ee4c7/json,1,1,1,1.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/3c09c798cf899b872a7cdfd59d63e4212aa09c7891b63ac86fb2c962224ee4c7/layer.tar,0,0,0,1.0
moc-ctr-file-transfer-0.1.0/docker-moc-ctr-file-transfer-0.1.0/7efa05788eeee9f5db39c88223fa56d2c441e72652fd4901353a3cada4395cde.json,1,1,1,1.0
